YBR109C	YGL141W
YBR109C	YGR094W
YBR109C	YJR104C
YBR109C	YKL067W
YBR109C	YKL129C
YBR109C	YKL210W
YBR109C	YLL040C
YBR109C	YLL050C
YBR109C	YLR433C
YBR109C	YML057W
YBR109C	YMR105C
YBR109C	YMR109W
YBR109C	YNL281W
YBR109C	YOL016C
YBR109C	YOR035C
YBR109C	YOR326W
YBR112C	YCR084C
YBR114W	YCR028CA
YBR114W	YDR097C
YBR114W	YDR453C
YBR114W	YGR192C
YBR114W	YGR193C
YBR114W	YHR183W
YBR114W	YJR052W
YBR114W	YJR077C
YBR114W	YKR001C
YBR114W	YLR044C
YBR114W	YMR201C
YBR114W	YMR226C
YBR114W	YMR315W
YBR114W	YOL012C
YBR114W	YOL086C
YBR114W	YOL097C
YBR114W	YOR332W
YBR114W	YPL154C
YBR115C	YGL154C
YBR117C	YPR074C
YBR118W	YHL034C
YBR118W	YKL081W
YBR118W	YPL048W
YBR119W	YDR235W
YBR119W	YDR240C
YBR119W	YFL017WA
YBR119W	YGR013W
YBR119W	YHR086W
YBR119W	YIL061C
YBR119W	YKL012W
YBR119W	YLR298C
YBR119W	YML046W
YBR119W	YMR125W
YBR119W	YPL178W
YBR120C	YKR026C
YBR121C	YLR427W
YBR121C	YNL244C
YBR122C	YGR220C
YBR122C	YNL284C
YBR123C	YDR362C
YBR123C	YGL133W
YBR123C	YGR047C
YBR123C	YOR110W
YBR123C	YPL007C
YBR125C	YDR071C
YBR125C	YDR186C
YBR125C	YDR247W
YBR125C	YDR507C
YBR125C	YPL204W
YBR126C	YBR265W
YBR126C	YCR079W
YBR126C	YDL017W
YBR126C	YDR028C
YBR126C	YDR074W
YBR126C	YDR247W
YBR126C	YER112W
YBR126C	YFR028C
YBR126C	YGR092W
YBR126C	YIL177C
YBR126C	YIR032C
YBR126C	YJL138C
YBR126C	YJR138W
YBR126C	YKR059W
YBR126C	YLL019C
YBR126C	YLR411W
YBR126C	YML100W
YBR126C	YMR106C
YBR126C	YMR139W
